Response ID,Status,Department,Director,Manager,Supervisor,Staff,Question,Response,Response Text
1,Complete,Human Resources,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
2,Complete,Communications Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
3,Complete,Parks and Recreation,0,1,0,0,1. I know what is expected of me at work,0,Not Applicable
4,Complete,Human Resources,0,1,0,0,1. I know what is expected of me at work,3,Agree
5,Complete,Communications Office,0,0,0,0,1. I know what is expected of me at work,0,Not Applicable
6,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
7,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
8,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
9,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,2,Disagree
10,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
11,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
12,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
12,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
13,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
14,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
15,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree
16,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
17,Complete,Finance and Performance Management,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
18,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
19,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
20,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
21,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
22,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
23,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,2,Disagree
24,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree
25,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
26,Complete,Sheriff's Department,0,0,0,1,1. I know what is expected of me at work,3,Agree
27,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
28,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3,Agree
29,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree
30,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
31,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,3,Agree
32,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
33,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,2,Disagree
34,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
35,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
36,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
37,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
38,Complete,Medical Examiner,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
39,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
40,Complete,Assigned Council,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
41,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
42,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
43,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
44,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
45,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
46,Complete,Prosecuting Attorney's Office,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
