Response_ID,Status,Department,Director,Manager,Supervisor,Staff,Question,Response,Response_Text,Qno,Question_alt
1,Complete,Human Resources,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
2,Complete,Communications Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
3,Complete,Parks and Recreation,0,1,0,0,1. I know what is expected of me at work,0,Not Applicable,1,I know what is expected of me at work
4,Complete,Human Resources,0,1,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
5,Complete,Communications Office,0,0,0,0,1. I know what is expected of me at work,0,Not Applicable,1,I know what is expected of me at work
6,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
7,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
8,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
9,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
10,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
11,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
12,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
12,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
13,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
14,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
15,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
16,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
17,Complete,Finance and Performance Management,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
18,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
19,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
20,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
21,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
22,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
23,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
24,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
25,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
26,Complete,Sheriff's Department,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
27,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
28,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
29,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
30,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
31,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
32,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
33,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
34,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
35,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
36,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
37,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
38,Complete,Medical Examiner,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
39,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
40,Complete,Assigned Council,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
41,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
42,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
43,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
44,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
45,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
46,Complete,Prosecuting Attorney's Office,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
47,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
48,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
49,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
50,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
51,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
52,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
53,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
54,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
55,Complete,Emergency Management,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
56,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
57,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
58,Complete,Sheriff's Department,0,0,0,1,1. I know what is expected of me at work,1,Strongly Disagree,1,I know what is expected of me at work
59,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
60,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
61,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
62,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
63,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
64,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
65,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
66,Complete,District Court,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
67,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
68,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
69,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
70,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,1,Strongly Disagree,1,I know what is expected of me at work
71,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
72,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
73,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
74,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
75,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
76,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
77,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
78,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
79,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
80,Complete,Council's Office,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
81,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
