year_month,community,zone,is_freehold,secondary_price_per_sqft_usd,secondary_price_per_m2_usd,offplan_price_per_sqft_usd,rental_price_per_sqft_annual_usd,n_listings_secondary,n_listings_offplan,n_listings_rental,cbuae_base_rate_pct,avg_mortgage_rate_pct
2020-01,Palm Jumeirah,Palm Jumeirah,True,662,7126,752.0,43,26,72,111,1.5,3.0
2020-02,Palm Jumeirah,Palm Jumeirah,True,666,7167,728.0,43,64,78,45,1.5,3.0
2020-03,Palm Jumeirah,Palm Jumeirah,True,703,7564,762.0,46,144,71,99,1.5,3.0
2020-04,Palm Jumeirah,Palm Jumeirah,True,651,7002,727.0,42,146,69,14,0.4,1.9
2020-05,Palm Jumeirah,Palm Jumeirah,True,637,6852,676.0,41,147,28,83,0.4,1.9
2020-06,Palm Jumeirah,Palm Jumeirah,True,659,7095,729.0,43,16,78,60,0.4,1.9
2020-07,Palm Jumeirah,Palm Jumeirah,True,619,6663,693.0,40,116,51,33,0.4,1.9
2020-08,Palm Jumeirah,Palm Jumeirah,True,645,6943,727.0,42,94,34,35,0.4,1.9
2020-09,Palm Jumeirah,Palm Jumeirah,True,660,7101,712.0,43,43,40,13,0.4,1.9
2020-10,Palm Jumeirah,Palm Jumeirah,True,619,6667,657.0,40,35,49,82,0.4,1.9
2020-11,Palm Jumeirah,Palm Jumeirah,True,651,7011,702.0,42,163,48,52,0.4,1.9
2020-12,Palm Jumeirah,Palm Jumeirah,True,675,7269,720.0,44,50,17,26,0.4,1.9
2021-01,Palm Jumeirah,Palm Jumeirah,True,682,7337,736.0,44,106,61,16,0.4,1.9
2021-02,Palm Jumeirah,Palm Jumeirah,True,654,7040,713.0,43,171,8,77,0.4,1.9
2021-03,Palm Jumeirah,Palm Jumeirah,True,681,7331,773.0,44,178,42,28,0.4,1.9
2021-04,Palm Jumeirah,Palm Jumeirah,True,693,7460,807.0,45,134,56,34,0.4,1.9
2021-05,Palm Jumeirah,Palm Jumeirah,True,687,7395,789.0,45,111,64,54,0.4,1.9
2021-06,Palm Jumeirah,Palm Jumeirah,True,733,7893,824.0,48,112,45,117,0.4,1.9
2021-07,Palm Jumeirah,Palm Jumeirah,True,688,7403,746.0,45,79,27,39,0.4,1.9
2021-08,Palm Jumeirah,Palm Jumeirah,True,717,7719,795.0,47,122,59,30,0.4,1.9
2021-09,Palm Jumeirah,Palm Jumeirah,True,770,8287,835.0,50,34,71,48,0.4,1.9
2021-10,Palm Jumeirah,Palm Jumeirah,True,757,8150,829.0,49,95,19,53,0.4,1.9
2021-11,Palm Jumeirah,Palm Jumeirah,True,769,8278,857.0,50,17,66,87,0.4,1.9
2021-12,Palm Jumeirah,Palm Jumeirah,True,796,8568,872.0,52,73,32,87,0.4,1.9
2022-01,Palm Jumeirah,Palm Jumeirah,True,825,8878,883.0,54,104,54,69,0.4,1.9
2022-02,Palm Jumeirah,Palm Jumeirah,True,867,9328,937.0,56,139,17,37,0.4,1.9
2022-03,Palm Jumeirah,Palm Jumeirah,True,820,8825,947.0,53,107,18,82,0.4,1.9
2022-04,Palm Jumeirah,Palm Jumeirah,True,892,9601,1023.0,58,150,16,32,1.4,2.9
2022-05,Palm Jumeirah,Palm Jumeirah,True,908,9775,1028.0,59,153,43,110,1.4,2.9
2022-06,Palm Jumeirah,Palm Jumeirah,True,856,9218,944.0,56,144,15,51,1.4,2.9
2022-07,Palm Jumeirah,Palm Jumeirah,True,952,10252,1077.0,62,113,56,52,1.4,2.9
2022-08,Palm Jumeirah,Palm Jumeirah,True,964,10380,1072.0,63,27,39,119,1.4,2.9
2022-09,Palm Jumeirah,Palm Jumeirah,True,984,10589,1088.0,64,64,18,80,1.4,2.9
2022-10,Palm Jumeirah,Palm Jumeirah,True,987,10626,1083.0,64,165,47,91,4.4,5.9
2022-11,Palm Jumeirah,Palm Jumeirah,True,1038,11173,1127.0,67,93,51,70,4.4,5.9
2022-12,Palm Jumeirah,Palm Jumeirah,True,1010,10875,1094.0,66,67,10,26,4.4,5.9
2023-01,Palm Jumeirah,Palm Jumeirah,True,1026,11043,1123.0,67,119,65,93,4.4,5.9
2023-02,Palm Jumeirah,Palm Jumeirah,True,1025,11029,1167.0,67,44,31,107,4.4,5.9
2023-03,Palm Jumeirah,Palm Jumeirah,True,1062,11427,1179.0,69,56,50,12,4.4,5.9
2023-04,Palm Jumeirah,Palm Jumeirah,True,1041,11205,1142.0,68,28,37,26,4.4,5.9
2023-05,Palm Jumeirah,Palm Jumeirah,True,1115,12000,1204.0,72,35,37,50,4.4,5.9
2023-06,Palm Jumeirah,Palm Jumeirah,True,1104,11885,1210.0,72,69,50,65,4.4,5.9
2023-07,Palm Jumeirah,Palm Jumeirah,True,1101,11846,1176.0,72,21,37,69,5.4,6.9
2023-08,Palm Jumeirah,Palm Jumeirah,True,1160,12491,1286.0,75,110,22,35,5.4,6.9
2023-09,Palm Jumeirah,Palm Jumeirah,True,1135,12213,1257.0,74,158,22,10,5.4,6.9
2023-10,Palm Jumeirah,Palm Jumeirah,True,1177,12668,1275.0,77,113,58,82,5.4,6.9
2023-11,Palm Jumeirah,Palm Jumeirah,True,1161,12497,1318.0,75,159,61,93,5.4,6.9
2023-12,Palm Jumeirah,Palm Jumeirah,True,1223,13165,1339.0,80,88,28,103,5.4,6.9
2024-01,Palm Jumeirah,Palm Jumeirah,True,1191,12819,1365.0,77,28,49,15,5.4,6.9
2024-02,Palm Jumeirah,Palm Jumeirah,True,1163,12516,1279.0,76,116,9,22,5.4,6.9
2024-03,Palm Jumeirah,Palm Jumeirah,True,1194,12855,1303.0,78,68,58,56,5.4,6.9
2024-04,Palm Jumeirah,Palm Jumeirah,True,1177,12668,1252.0,76,106,58,104,5.4,6.9
2024-05,Palm Jumeirah,Palm Jumeirah,True,1193,12836,1294.0,78,102,56,100,5.4,6.9
2024-06,Palm Jumeirah,Palm Jumeirah,True,1165,12536,1236.0,76,83,57,104,5.4,6.9
2024-07,Palm Jumeirah,Palm Jumeirah,True,1133,12194,1215.0,74,66,34,76,4.65,6.15
2024-08,Palm Jumeirah,Palm Jumeirah,True,1186,12765,1388.0,77,34,6,13,4.65,6.15
2024-09,Palm Jumeirah,Palm Jumeirah,True,1149,12367,1269.0,75,111,59,99,4.65,6.15
2024-10,Palm Jumeirah,Palm Jumeirah,True,1169,12581,1282.0,76,159,63,58,4.65,6.15
2024-11,Palm Jumeirah,Palm Jumeirah,True,1127,12134,1214.0,73,151,50,43,4.65,6.15
2024-12,Palm Jumeirah,Palm Jumeirah,True,1130,12167,1223.0,73,91,64,95,4.65,6.15
2025-01,Palm Jumeirah,Palm Jumeirah,True,1207,12989,1337.0,78,42,39,77,4.65,6.15
2025-02,Palm Jumeirah,Palm Jumeirah,True,1146,12332,1221.0,74,70,72,108,4.65,6.15
2025-03,Palm Jumeirah,Palm Jumeirah,True,1164,12527,1252.0,76,94,24,10,4.65,6.15
2025-04,Palm Jumeirah,Palm Jumeirah,True,1138,12251,1258.0,74,16,59,37,4.65,6.15
2025-05,Palm Jumeirah,Palm Jumeirah,True,1125,12107,1251.0,73,124,10,36,4.65,6.15
2025-06,Palm Jumeirah,Palm Jumeirah,True,1174,12633,1214.0,76,33,50,37,4.65,6.15
2025-07,Palm Jumeirah,Palm Jumeirah,True,1119,12046,1244.0,73,50,52,89,4.0,5.5
2025-08,Palm Jumeirah,Palm Jumeirah,True,1147,12344,1295.0,75,172,50,105,4.0,5.5
2025-09,Palm Jumeirah,Palm Jumeirah,True,1182,12726,1262.0,77,99,18,18,4.0,5.5
2025-10,Palm Jumeirah,Palm Jumeirah,True,1211,13034,1359.0,79,45,19,43,4.0,5.5
2025-11,Palm Jumeirah,Palm Jumeirah,True,1148,12359,1271.0,75,125,58,54,4.0,5.5
2025-12,Palm Jumeirah,Palm Jumeirah,True,1128,12145,1255.0,73,124,12,117,4.0,5.5
2026-01,Palm Jumeirah,Palm Jumeirah,True,1156,12439,1266.0,75,89,32,27,4.0,5.5
2026-02,Palm Jumeirah,Palm Jumeirah,True,1171,12603,1313.0,76,42,56,49,4.0,5.5
2026-03,Palm Jumeirah,Palm Jumeirah,True,1185,12753,1296.0,77,159,36,93,4.0,5.5
2026-04,Palm Jumeirah,Palm Jumeirah,True,1202,12939,1347.0,78,147,78,26,4.0,5.5
2020-01,Jumeirah Bay Island,Jumeirah,True,989,10648,1042.0,64,100,17,66,1.5,3.0
2020-02,Jumeirah Bay Island,Jumeirah,True,951,10237,1019.0,62,106,73,39,1.5,3.0
2020-03,Jumeirah Bay Island,Jumeirah,True,1009,10862,1129.0,66,91,69,43,1.5,3.0
2020-04,Jumeirah Bay Island,Jumeirah,True,996,10720,1104.0,65,130,14,28,0.4,1.9
2020-05,Jumeirah Bay Island,Jumeirah,True,923,9938,996.0,60,86,76,44,0.4,1.9
2020-06,Jumeirah Bay Island,Jumeirah,True,922,9926,988.0,60,115,60,34,0.4,1.9
2020-07,Jumeirah Bay Island,Jumeirah,True,940,10117,1072.0,61,71,30,11,0.4,1.9
2020-08,Jumeirah Bay Island,Jumeirah,True,942,10139,1051.0,61,63,5,24,0.4,1.9
2020-09,Jumeirah Bay Island,Jumeirah,True,909,9781,968.0,59,149,77,97,0.4,1.9
2020-10,Jumeirah Bay Island,Jumeirah,True,894,9620,1001.0,58,157,55,91,0.4,1.9
2020-11,Jumeirah Bay Island,Jumeirah,True,954,10274,1003.0,62,121,15,99,0.4,1.9
2020-12,Jumeirah Bay Island,Jumeirah,True,957,10299,1026.0,62,95,17,94,0.4,1.9
2021-01,Jumeirah Bay Island,Jumeirah,True,953,10263,1037.0,62,119,22,100,0.4,1.9
2021-02,Jumeirah Bay Island,Jumeirah,True,1041,11206,1100.0,68,32,61,104,0.4,1.9
2021-03,Jumeirah Bay Island,Jumeirah,True,973,10476,1085.0,63,113,43,64,0.4,1.9
2021-04,Jumeirah Bay Island,Jumeirah,True,1011,10882,1154.0,66,45,64,110,0.4,1.9
2021-05,Jumeirah Bay Island,Jumeirah,True,1029,11071,1131.0,67,123,24,44,0.4,1.9
2021-06,Jumeirah Bay Island,Jumeirah,True,1023,11016,1127.0,67,64,38,46,0.4,1.9
2021-07,Jumeirah Bay Island,Jumeirah,True,1063,11438,1204.0,69,35,52,64,0.4,1.9
2021-08,Jumeirah Bay Island,Jumeirah,True,1115,12001,1273.0,72,62,69,85,0.4,1.9
2021-09,Jumeirah Bay Island,Jumeirah,True,1101,11854,1177.0,72,84,22,110,0.4,1.9
2021-10,Jumeirah Bay Island,Jumeirah,True,1103,11877,1243.0,72,15,13,105,0.4,1.9
2021-11,Jumeirah Bay Island,Jumeirah,True,1069,11508,1193.0,69,26,44,38,0.4,1.9
2021-12,Jumeirah Bay Island,Jumeirah,True,1141,12278,1280.0,74,80,10,74,0.4,1.9
2022-01,Jumeirah Bay Island,Jumeirah,True,1179,12688,1261.0,77,167,58,90,0.4,1.9
2022-02,Jumeirah Bay Island,Jumeirah,True,1262,13586,1362.0,82,77,51,24,0.4,1.9
2022-03,Jumeirah Bay Island,Jumeirah,True,1306,14062,1479.0,85,158,59,20,0.4,1.9
2022-04,Jumeirah Bay Island,Jumeirah,True,1319,14198,1446.0,86,121,32,71,1.4,2.9
2022-05,Jumeirah Bay Island,Jumeirah,True,1303,14021,1386.0,85,38,51,113,1.4,2.9
2022-06,Jumeirah Bay Island,Jumeirah,True,1361,14655,1495.0,88,134,74,87,1.4,2.9
2022-07,Jumeirah Bay Island,Jumeirah,True,1317,14180,1451.0,86,171,13,98,1.4,2.9
2022-08,Jumeirah Bay Island,Jumeirah,True,1466,15783,1642.0,95,95,72,90,1.4,2.9
2022-09,Jumeirah Bay Island,Jumeirah,True,1461,15722,1554.0,95,41,79,25,1.4,2.9
2022-10,Jumeirah Bay Island,Jumeirah,True,1462,15734,1565.0,95,28,59,25,4.4,5.9
2022-11,Jumeirah Bay Island,Jumeirah,True,1484,15973,1588.0,96,176,13,106,4.4,5.9
2022-12,Jumeirah Bay Island,Jumeirah,True,1469,15816,1647.0,96,88,26,78,4.4,5.9
2023-01,Jumeirah Bay Island,Jumeirah,True,1499,16139,1683.0,97,177,35,108,4.4,5.9
2023-02,Jumeirah Bay Island,Jumeirah,True,1553,16717,1721.0,101,26,10,66,4.4,5.9
2023-03,Jumeirah Bay Island,Jumeirah,True,1577,16972,1704.0,102,21,9,48,4.4,5.9
2023-04,Jumeirah Bay Island,Jumeirah,True,1640,17657,1847.0,107,170,62,99,4.4,5.9
2023-05,Jumeirah Bay Island,Jumeirah,True,1540,16573,1694.0,100,130,49,40,4.4,5.9
2023-06,Jumeirah Bay Island,Jumeirah,True,1619,17432,1831.0,105,96,27,79,4.4,5.9
2023-07,Jumeirah Bay Island,Jumeirah,True,1696,18251,1813.0,110,146,79,99,5.4,6.9
2023-08,Jumeirah Bay Island,Jumeirah,True,1699,18285,1933.0,110,46,20,106,5.4,6.9
2023-09,Jumeirah Bay Island,Jumeirah,True,1721,18522,1883.0,112,145,18,90,5.4,6.9
2023-10,Jumeirah Bay Island,Jumeirah,True,1777,19129,1941.0,116,32,25,30,5.4,6.9
2023-11,Jumeirah Bay Island,Jumeirah,True,1721,18521,1891.0,112,104,53,50,5.4,6.9
2023-12,Jumeirah Bay Island,Jumeirah,True,1686,18147,1919.0,110,26,22,58,5.4,6.9
2024-01,Jumeirah Bay Island,Jumeirah,True,1749,18822,1964.0,114,51,9,21,5.4,6.9
2024-02,Jumeirah Bay Island,Jumeirah,True,1752,18863,2025.0,114,102,29,103,5.4,6.9
2024-03,Jumeirah Bay Island,Jumeirah,True,1706,18361,1868.0,111,105,52,116,5.4,6.9
2024-04,Jumeirah Bay Island,Jumeirah,True,1694,18238,1856.0,110,125,17,39,5.4,6.9
2024-05,Jumeirah Bay Island,Jumeirah,True,1698,18276,1862.0,110,173,48,105,5.4,6.9
2024-06,Jumeirah Bay Island,Jumeirah,True,1741,18737,1872.0,113,25,8,113,5.4,6.9
2024-07,Jumeirah Bay Island,Jumeirah,True,1649,17754,1748.0,107,124,34,56,4.65,6.15
2024-08,Jumeirah Bay Island,Jumeirah,True,1667,17941,1824.0,108,73,70,61,4.65,6.15
2024-09,Jumeirah Bay Island,Jumeirah,True,1655,17814,1809.0,108,33,72,117,4.65,6.15
2024-10,Jumeirah Bay Island,Jumeirah,True,1680,18086,1784.0,109,104,17,106,4.65,6.15
2024-11,Jumeirah Bay Island,Jumeirah,True,1682,18108,1883.0,109,85,60,80,4.65,6.15
2024-12,Jumeirah Bay Island,Jumeirah,True,1701,18307,1898.0,111,148,8,11,4.65,6.15
2025-01,Jumeirah Bay Island,Jumeirah,True,1700,18300,1913.0,111,125,67,40,4.65,6.15
2025-02,Jumeirah Bay Island,Jumeirah,True,1670,17975,1828.0,109,126,23,106,4.65,6.15
2025-03,Jumeirah Bay Island,Jumeirah,True,1721,18527,1894.0,112,144,66,68,4.65,6.15
2025-04,Jumeirah Bay Island,Jumeirah,True,1640,17657,1731.0,107,132,15,87,4.65,6.15
2025-05,Jumeirah Bay Island,Jumeirah,True,1769,19037,1902.0,115,61,49,28,4.65,6.15
2025-06,Jumeirah Bay Island,Jumeirah,True,1691,18197,1852.0,110,140,49,63,4.65,6.15
2025-07,Jumeirah Bay Island,Jumeirah,True,1658,17847,1840.0,108,125,13,110,4.0,5.5
2025-08,Jumeirah Bay Island,Jumeirah,True,1651,17769,1852.0,107,85,25,108,4.0,5.5
2025-09,Jumeirah Bay Island,Jumeirah,True,1603,17250,1763.0,104,161,16,35,4.0,5.5
2025-10,Jumeirah Bay Island,Jumeirah,True,1704,18345,1906.0,111,28,18,80,4.0,5.5
2025-11,Jumeirah Bay Island,Jumeirah,True,1627,17514,1773.0,106,79,48,114,4.0,5.5
2025-12,Jumeirah Bay Island,Jumeirah,True,1721,18523,1925.0,112,166,17,76,4.0,5.5
2026-01,Jumeirah Bay Island,Jumeirah,True,1698,18274,1833.0,110,143,15,47,4.0,5.5
2026-02,Jumeirah Bay Island,Jumeirah,True,1641,17666,1805.0,107,149,44,25,4.0,5.5
2026-03,Jumeirah Bay Island,Jumeirah,True,1685,18139,1823.0,110,157,29,62,4.0,5.5
2026-04,Jumeirah Bay Island,Jumeirah,True,1683,18117,1796.0,109,157,57,72,4.0,5.5
2020-01,Bluewaters Island,Dubai Marina,True,582,6260,656.0,38,162,32,93,1.5,3.0
2020-02,Bluewaters Island,Dubai Marina,True,582,6268,636.0,38,172,46,99,1.5,3.0
2020-03,Bluewaters Island,Dubai Marina,True,595,6401,646.0,39,125,65,59,1.5,3.0
2020-04,Bluewaters Island,Dubai Marina,True,595,6405,632.0,39,44,41,43,0.4,1.9
2020-05,Bluewaters Island,Dubai Marina,True,571,6142,606.0,37,164,46,13,0.4,1.9
2020-06,Bluewaters Island,Dubai Marina,True,569,6130,592.0,37,126,17,97,0.4,1.9
2020-07,Bluewaters Island,Dubai Marina,True,531,5713,572.0,34,135,26,106,0.4,1.9
2020-08,Bluewaters Island,Dubai Marina,True,543,5844,593.0,35,142,13,105,0.4,1.9
2020-09,Bluewaters Island,Dubai Marina,True,561,6034,628.0,36,156,75,49,0.4,1.9
2020-10,Bluewaters Island,Dubai Marina,True,540,5816,592.0,35,173,36,65,0.4,1.9
2020-11,Bluewaters Island,Dubai Marina,True,522,5623,576.0,34,133,52,85,0.4,1.9
2020-12,Bluewaters Island,Dubai Marina,True,566,6097,621.0,37,43,25,87,0.4,1.9
2021-01,Bluewaters Island,Dubai Marina,True,581,6257,644.0,38,150,6,31,0.4,1.9
2021-02,Bluewaters Island,Dubai Marina,True,588,6326,674.0,38,102,21,51,0.4,1.9
2021-03,Bluewaters Island,Dubai Marina,True,566,6091,618.0,37,51,12,67,0.4,1.9
2021-04,Bluewaters Island,Dubai Marina,True,590,6354,656.0,38,92,67,85,0.4,1.9
2021-05,Bluewaters Island,Dubai Marina,True,627,6745,705.0,41,24,63,40,0.4,1.9
2021-06,Bluewaters Island,Dubai Marina,True,608,6549,686.0,40,73,66,97,0.4,1.9
2021-07,Bluewaters Island,Dubai Marina,True,630,6776,654.0,41,105,36,88,0.4,1.9
2021-08,Bluewaters Island,Dubai Marina,True,655,7050,750.0,43,33,62,109,0.4,1.9
2021-09,Bluewaters Island,Dubai Marina,True,677,7292,731.0,44,71,69,97,0.4,1.9
2021-10,Bluewaters Island,Dubai Marina,True,683,7353,747.0,44,16,29,118,0.4,1.9
2021-11,Bluewaters Island,Dubai Marina,True,688,7407,739.0,45,110,69,100,0.4,1.9
2021-12,Bluewaters Island,Dubai Marina,True,704,7575,760.0,46,175,16,74,0.4,1.9
2022-01,Bluewaters Island,Dubai Marina,True,733,7892,759.0,48,37,20,10,0.4,1.9
2022-02,Bluewaters Island,Dubai Marina,True,719,7736,807.0,47,157,67,54,0.4,1.9
2022-03,Bluewaters Island,Dubai Marina,True,737,7934,835.0,48,142,59,78,0.4,1.9
2022-04,Bluewaters Island,Dubai Marina,True,762,8203,850.0,50,68,69,45,1.4,2.9
2022-05,Bluewaters Island,Dubai Marina,True,763,8208,838.0,50,68,54,31,1.4,2.9
2022-06,Bluewaters Island,Dubai Marina,True,794,8552,855.0,52,43,44,115,1.4,2.9
2022-07,Bluewaters Island,Dubai Marina,True,812,8745,898.0,53,126,13,15,1.4,2.9
2022-08,Bluewaters Island,Dubai Marina,True,815,8767,935.0,53,109,7,42,1.4,2.9
2022-09,Bluewaters Island,Dubai Marina,True,818,8807,882.0,53,156,75,20,1.4,2.9
2022-10,Bluewaters Island,Dubai Marina,True,842,9063,915.0,55,110,16,14,4.4,5.9
2022-11,Bluewaters Island,Dubai Marina,True,823,8858,832.0,53,42,45,106,4.4,5.9
2022-12,Bluewaters Island,Dubai Marina,True,925,9959,1008.0,60,87,71,45,4.4,5.9
2023-01,Bluewaters Island,Dubai Marina,True,905,9736,1032.0,59,44,6,13,4.4,5.9
2023-02,Bluewaters Island,Dubai Marina,True,930,10015,1039.0,60,175,71,119,4.4,5.9
2023-03,Bluewaters Island,Dubai Marina,True,913,9825,1051.0,59,170,43,61,4.4,5.9
2023-04,Bluewaters Island,Dubai Marina,True,924,9944,1038.0,60,131,43,109,4.4,5.9
2023-05,Bluewaters Island,Dubai Marina,True,944,10160,1042.0,61,59,39,11,4.4,5.9
2023-06,Bluewaters Island,Dubai Marina,True,952,10247,1065.0,62,42,41,78,4.4,5.9
2023-07,Bluewaters Island,Dubai Marina,True,1024,11024,1167.0,67,143,62,100,5.4,6.9
2023-08,Bluewaters Island,Dubai Marina,True,1034,11133,1115.0,67,157,8,70,5.4,6.9
2023-09,Bluewaters Island,Dubai Marina,True,1030,11082,1135.0,67,158,76,27,5.4,6.9
2023-10,Bluewaters Island,Dubai Marina,True,1023,11013,1125.0,67,148,23,111,5.4,6.9
2023-11,Bluewaters Island,Dubai Marina,True,1039,11187,1159.0,68,106,76,94,5.4,6.9
2023-12,Bluewaters Island,Dubai Marina,True,998,10748,1125.0,65,82,19,87,5.4,6.9
2024-01,Bluewaters Island,Dubai Marina,True,1019,10971,1112.0,66,144,64,60,5.4,6.9
2024-02,Bluewaters Island,Dubai Marina,True,1043,11223,1155.0,68,68,20,85,5.4,6.9
2024-03,Bluewaters Island,Dubai Marina,True,997,10727,1104.0,65,141,17,15,5.4,6.9
2024-04,Bluewaters Island,Dubai Marina,True,1015,10930,1134.0,66,53,74,91,5.4,6.9
2024-05,Bluewaters Island,Dubai Marina,True,980,10549,1056.0,64,131,73,92,5.4,6.9
2024-06,Bluewaters Island,Dubai Marina,True,1004,10808,1109.0,65,34,30,35,5.4,6.9
2024-07,Bluewaters Island,Dubai Marina,True,1020,10982,1147.0,66,76,62,103,4.65,6.15
2024-08,Bluewaters Island,Dubai Marina,True,1001,10774,1114.0,65,96,73,28,4.65,6.15
2024-09,Bluewaters Island,Dubai Marina,True,987,10625,1084.0,64,70,23,30,4.65,6.15
2024-10,Bluewaters Island,Dubai Marina,True,1034,11125,1142.0,67,113,30,52,4.65,6.15
2024-11,Bluewaters Island,Dubai Marina,True,1015,10926,1106.0,66,138,71,36,4.65,6.15
2024-12,Bluewaters Island,Dubai Marina,True,946,10188,993.0,62,17,78,116,4.65,6.15
2025-01,Bluewaters Island,Dubai Marina,True,962,10351,1052.0,63,106,30,78,4.65,6.15
2025-02,Bluewaters Island,Dubai Marina,True,979,10539,1042.0,64,42,58,27,4.65,6.15
2025-03,Bluewaters Island,Dubai Marina,True,992,10678,1103.0,64,41,56,28,4.65,6.15
2025-04,Bluewaters Island,Dubai Marina,True,1029,11078,1133.0,67,168,38,26,4.65,6.15
2025-05,Bluewaters Island,Dubai Marina,True,993,10684,1072.0,65,29,18,71,4.65,6.15
2025-06,Bluewaters Island,Dubai Marina,True,1007,10838,1057.0,65,142,50,14,4.65,6.15
2025-07,Bluewaters Island,Dubai Marina,True,963,10365,1028.0,63,156,31,43,4.0,5.5
2025-08,Bluewaters Island,Dubai Marina,True,1011,10884,1091.0,66,36,78,12,4.0,5.5
2025-09,Bluewaters Island,Dubai Marina,True,989,10651,1085.0,64,125,36,27,4.0,5.5
2025-10,Bluewaters Island,Dubai Marina,True,974,10488,1060.0,63,73,14,115,4.0,5.5
2025-11,Bluewaters Island,Dubai Marina,True,993,10688,1075.0,65,165,30,44,4.0,5.5
2025-12,Bluewaters Island,Dubai Marina,True,928,9986,1000.0,60,132,49,56,4.0,5.5
2026-01,Bluewaters Island,Dubai Marina,True,1002,10787,1104.0,65,146,34,69,4.0,5.5
2026-02,Bluewaters Island,Dubai Marina,True,989,10641,1169.0,64,50,75,65,4.0,5.5
2026-03,Bluewaters Island,Dubai Marina,True,966,10399,1045.0,63,73,58,43,4.0,5.5
2026-04,Bluewaters Island,Dubai Marina,True,1037,11161,1144.0,67,70,27,49,4.0,5.5
