id,date_listed,project_id,project_name,developer,developer_tier,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,view,launch_year,handover_year,total_project_units,payment_plan,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,price_usd,price_per_sqft_usd,price_per_m2_usd,mortgage_rate_at_listing
O000001,22-02-2025,OP0015,Hartland Greens,Ellington,tier2,Dubai Production City,IMPZ,25.0254,55.25064,apartment,1BR,1,672,62.4,pool,2024,2025,1500,10/90_post_handover,Dubai Internet City,Red,136,19.25,196600,293,3149,6.15
O000002,19-03-2021,OP0165,Aykon City,Sobha,tier1,The Meadows,Emirates Living,25.04572,55.1704,villa,5BR_villa,5,5974,555,city,2021,2024,1500,50/50_post_handover,MRT-1,Red,51,19.83,3712600,621,6689,1.9
O000003,16-02-2021,OP0091,Beachgate,Nakheel,tier1,Jumeirah Park,Emirates Living,25.04807,55.17198,villa,3BR_villa,3,2549,236.8,pool,2025,2028,100,70/30,Abu Baker Al Siddique,Red,367,19.53,1521500,597,6424,1.9
O000004,24-11-2021,OP0165,Aykon City,Sobha,tier1,The Meadows,Emirates Living,25.04572,55.1704,villa,4BR_villa,4,3264,303.2,sea,2021,2024,1500,70/30,Al Furjan,Red,37,19.83,2976600,912,9816,1.9
O000005,04-02-2021,OP0130,Marina Vista,Dubai Properties,tier1,Liwan,Dubailand,25.06191,55.32871,apartment,1BR,1,560,52.1,community,2022,2027,400,60/40,Abu Hail,Red,306,16.01,112200,200,2154,1.9
O000006,19-11-2022,OP0128,Vida Residences,Aldar,tier1,Dubailand,Dubailand,25.03005,55.30866,villa,5BR_villa,5,4034,374.7,burj_khalifa,2023,2028,200,10/90_post_handover,Jumeirah Golf Estates,Red,173,18.9,1606000,398,4285,5.9
O000007,28-06-2021,OP0016,Beachgate,Tiger Group,tier2,Business Bay,Business Bay,25.19245,55.26376,apartment,3BR,3,1653,153.6,marina,2021,2026,1500,70/30,Business Bay,Red,7,1.19,734200,444,4780,1.9
O000008,12-02-2024,OP0044,Volta,Sobha,tier1,Arabian Ranches 2,Arabian Ranches,25.04518,55.2574,villa,3BR_villa,3,2701,250.9,park,2024,2026,1500,80/20,Mashreq Bank,Red,127,16.99,2731000,1011,10883,6.9
O000009,28-05-2024,OP0114,Grande,Nakheel,tier1,Expo City,Dubai South,24.95921,55.14245,apartment,1BR,1,639,59.4,marina,2023,2024,1500,60/40,Expo 2020,Red,17,29.61,315200,493,5310,6.9
O000010,15-09-2023,OP0014,Beachgate,Select Group,tier2,Dubai Studio City,Dubai Studio City,25.03765,55.22495,apartment,1BR,1,831,77.2,marina,2024,2027,800,10/90_post_handover,Al Furjan,Red,94,18.43,307900,370,3988,6.9
O000011,22-02-2024,OP0137,Damac Bay,Binghatti,tier2,Madinat Jumeirah Living,Jumeirah,25.12162,55.19646,apartment,studio,0,348,32.4,community,2023,2028,100,70/30,Mall of the Emirates,Red,12,11.5,393900,1130,12168,6.9
O000012,27-12-2021,OP0035,Marasi Riverside,Sobha,tier1,Living Legends,Dubailand,25.08073,55.31718,villa,5BR_villa,5,6638,616.7,sea,2025,2024,100,50/50_post_handover,Baniyas Square (G),Green,255,13.65,2818700,425,4570,1.9
O000013,11-04-2024,OP0175,Safa Towers,Emaar,tier1,Business Bay,Business Bay,25.18991,55.2576,apartment,2BR,2,902,83.8,city,2021,2028,200,10/90_post_handover,Business Bay,Red,7,1.87,707200,784,8441,6.9
O000014,26-12-2023,OP0045,Crest Grande,Tiger Group,tier2,Jumeirah 3,Jumeirah,25.20409,55.2386,apartment,1BR,1,798,74.1,community,2024,2025,100,10/90_post_handover,Business Bay,Red,41,3.68,821200,1029,11078,6.9
O000015,30-11-2022,OP0063,Sobha Reserve,Select Group,tier2,La Mer,Jumeirah,25.22267,55.27572,villa,5BR_villa,5,3538,328.7,pool,2022,2027,800,70/30,Emirates Towers,Red,14,2.83,4098600,1158,12468,5.9
O000016,06-05-2024,OP0086,Vida Residences,Aldar,tier1,Jumeirah 3,Jumeirah,25.19732,55.24134,villa,5BR_villa,5,3802,353.3,marina,2024,2025,1500,60/40,Al Qiyadah,Red,178,3.33,4807000,1264,13608,6.9
O000017,26-04-2022,OP0031,Six Senses,Sobha,tier1,Al Furjan,Al Furjan,25.03166,55.15372,apartment,1BR,1,567,52.6,community,2022,2027,100,70/30,Dubai Investment Park,Red,61,22.06,225200,397,4277,2.9
O000018,25-11-2023,OP0176,Seaside,Select Group,tier2,Tilal Al Ghaf,Tilal Al Ghaf,25.01497,55.26774,villa,5BR_villa,5,4364,405.5,marina,2022,2028,400,50/50_post_handover,Salah Al Din,Red,359,20.27,3553900,814,8765,6.9
O000019,23-11-2025,OP0082,Marina Vista,Ellington,tier2,Green Community,DIP,25.00724,55.17093,villa,3BR_villa,3,3324,308.8,city,2022,2025,400,60/40,Expo 2020,Red,77,23.55,1704400,513,5520,5.5
O000020,08-10-2021,OP0139,Marina Vista,Sobha,tier1,Sobha Hartland,MBR City,25.18863,55.31016,apartment,2BR,2,1273,118.3,sea,2024,2025,100,70/30,Centrepoint,Red,142,3.72,872300,685,7376,1.9
O000021,15-10-2024,OP0176,Seaside,Select Group,tier2,Tilal Al Ghaf,Tilal Al Ghaf,25.01497,55.26774,villa,5BR_villa,5,5919,549.9,park,2022,2028,400,50/50_post_handover,First Abu Dhabi Bank,Red,173,20.27,3816100,645,6939,6.15
O000022,14-02-2023,OP0011,Address Residences,Meraas,tier1,Jumeirah Park,Emirates Living,25.05049,55.17886,villa,4BR_villa,4,4493,417.5,city,2022,2028,1500,10/90_post_handover,Jumeirah Golf Estates,Red,34,18.94,4231400,942,10136,5.9
O000023,08-02-2024,OP0066,Address Residences,Ellington,tier2,The Views,The Greens,25.11082,55.17792,apartment,2BR,2,1226,113.9,city,2024,2025,400,70/30,Mashreq Bank,Red,24,13.66,853200,696,7490,6.9
O000024,16-08-2023,OP0003,One at Palm,Deyaar,tier2,Jumeirah Golf Estates,JGE,25.01301,55.19884,villa,5BR_villa,5,4957,460.5,burj_khalifa,2025,2026,200,10/90_post_handover,First Abu Dhabi Bank,Red,169,21.85,5327200,1075,11568,6.9
